timestamp,datetime,open,high,low,close,volume
1767225600,2026-01-01 00:00:00+00:00,1.17495,1.17495,1.17495,1.17495,3541.58
1767229200,2026-01-01 01:00:00+00:00,1.17495,1.17495,1.17495,1.17495,3406.79
1767240000,2026-01-01 04:00:00+00:00,1.17495,1.17495,1.17495,1.17495,3496.82
1767243600,2026-01-01 05:00:00+00:00,1.17495,1.17495,1.17495,1.17495,3437.2
1767261600,2026-01-01 10:00:00+00:00,1.17495,1.17495,1.17495,1.17495,3533.62
1767304800,2026-01-01 22:00:00+00:00,1.17481,1.17578,1.17426,1.17536,3503.36
1767308400,2026-01-01 23:00:00+00:00,1.17509,1.17536,1.17495,1.17536,3429.25
1767312000,2026-01-02 00:00:00+00:00,1.17536,1.17606,1.17536,1.17606,3432.4
1767315600,2026-01-02 01:00:00+00:00,1.17619,1.17661,1.17606,1.17647,3437.17
1767319200,2026-01-02 02:00:00+00:00,1.17647,1.17675,1.17619,1.17633,3457.72
1767322800,2026-01-02 03:00:00+00:00,1.17647,1.17689,1.17647,1.17689,3466.12
1767326400,2026-01-02 04:00:00+00:00,1.17675,1.17689,1.17592,1.17592,3503.2200000000003
1767330000,2026-01-02 05:00:00+00:00,1.17592,1.17606,1.1755,1.1755,3439.82
1767333600,2026-01-02 06:00:00+00:00,1.17536,1.17536,1.17454,1.17481,3505.78
1767337200,2026-01-02 07:00:00+00:00,1.17467,1.17495,1.17371,1.17412,3497.42
1767340800,2026-01-02 08:00:00+00:00,1.17371,1.17398,1.17288,1.1733,3510.78
1767344400,2026-01-02 09:00:00+00:00,1.1733,1.17398,1.17247,1.17247,3425.11
1767348000,2026-01-02 10:00:00+00:00,1.17247,1.17275,1.17165,1.17247,3565.03
1767351600,2026-01-02 11:00:00+00:00,1.17247,1.17261,1.17192,1.17247,3464.22
1767355200,2026-01-02 12:00:00+00:00,1.17247,1.17302,1.17247,1.17275,3458.26
1767358800,2026-01-02 13:00:00+00:00,1.17261,1.1733,1.1722,1.17261,3528.7599999999998
1767362400,2026-01-02 14:00:00+00:00,1.17247,1.1733,1.17192,1.17316,3438.72
1767366000,2026-01-02 15:00:00+00:00,1.1733,1.1755,1.1733,1.17536,3456.85
1767369600,2026-01-02 16:00:00+00:00,1.1755,1.1755,1.17385,1.17412,3502.33
1767373200,2026-01-02 17:00:00+00:00,1.17412,1.17412,1.1733,1.17343,3555.36
1767376800,2026-01-02 18:00:00+00:00,1.17343,1.17343,1.17192,1.1722,3441.17
1767380400,2026-01-02 19:00:00+00:00,1.1722,1.17275,1.17178,1.17275,3505.86
1767384000,2026-01-02 20:00:00+00:00,1.17275,1.17275,1.17192,1.17206,3485.14
1767387600,2026-01-02 21:00:00+00:00,1.1722,1.17275,1.17206,1.17233,3472.5099999999998
1767391200,2026-01-02 22:00:00+00:00,1.17233,1.17233,1.17233,1.17233,3473.5099999999998
1767571200,2026-01-05 00:00:00+00:00,1.1711,1.17137,1.17082,1.17082,3419.29
1767574800,2026-01-05 01:00:00+00:00,1.17069,1.1711,1.17027,1.17041,3487.36
1767578400,2026-01-05 02:00:00+00:00,1.17041,1.17055,1.16877,1.16918,3503.51
1767582000,2026-01-05 03:00:00+00:00,1.16932,1.16932,1.16754,1.16795,3495.24
1767585600,2026-01-05 04:00:00+00:00,1.16781,1.16863,1.16768,1.1685,3489.86
1767589200,2026-01-05 05:00:00+00:00,1.16836,1.16891,1.16836,1.16891,3482.84
